"State","County","FIPS","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Median.AQI"
"West Virginia","Bailey","48017",297,228,49,9,8,0,0,103,52
"West Virginia","Llano","48299",258,206,53,13,10,5,2,342,88
"West Virginia","Kaufman","48257",271,112,21,10,3,2,0,152,57
"West Virginia","Grayson","48181",252,300,58,14,7,0,0,134,92
"West Virginia","Childress","48075",360,129,80,19,0,2,1,194,60
"West Virginia","Wheeler","48483",256,191,45,3,9,0,2,318,88
"West Virginia","Liberty","48291",309,225,72,22,1,2,1,300,69
"West Virginia","Blanco","48031",363,232,71,17,5,3,2,190,71
"West Virginia","Hockley","48219",252,203,26,14,5,4,0,197,54
"West Virginia","Fayette","48149",250,191,57,7,14,0,2,285,51
"West Virginia","Hood","48221",300,191,47,22,13,3,0,302,45
"West Virginia","Carson","48065",299,230,53,1,13,0,0,240,41
"West Virginia","Erath","48143",279,257,73,25,8,1,2,465,59
"Alabama","Walker","01127",261,101,76,12,4,4,1,321,87
"Alabama","Fayette","01057",309,222,75,5,0,2,0,388,50
"Oklahoma","Tompkins","36109",263,288,71,13,12,0,0,240,95
"Oklahoma","Wyoming","36121",253,246,41,8,7,1,0,375,64
"Kentucky","Crawford","17033",350,105,56,24,12,4,2,490,65
"Kentucky","Morgan","17137",269,160,33,1,10,5,0,194,64
"West Virginia","Midland","48329",317,124,67,14,8,4,0,314,37
"West Virginia","Jim Wells","48249",355,133,31,15,8,3,1,380,74
"West Virginia","Sterling","48431",356,291,65,22,8,4,0,121,50
"Kentucky","Hancock","17067",317,131,97,20,3,3,1,266,88
"Alabama","Geneva","01061",343,203,90,20,3,2,0,449,68
"West Virginia","Panola","48365",276,165,58,14,6,1,1,184,70
"Kentucky","Grundy","17063",268,167,86,26,7,5,1,108,98
"Alabama","Lawrence","01079",364,252,75,17,7,2,1,165,91
"Alabama","Clay","01027",317,143,93,10,4,2,2,163,37
"Kentucky","Macoupin","17117",339,278,89,7,11,0,1,319,55
"Kentucky","Randolph","17157",353,279,27,30,2,5,1,339,99
"West Virginia","Zapata","48505",342,282,36,17,3,0,1,345,38
"Oklahoma","Chemung","36015",255,270,97,19,1,1,0,457,85
"Alabama","Macon","01087",352,179,69,14,9,0,0,315,89
"West Virginia","Fannin","48147",274,237,36,23,8,1,1,415,47
"Oklahoma","Wayne","36117",287,153,100,17,9,2,0,494,36
"Oklahoma","Cayuga","36011",348,199,39,28,0,4,1,166,39
"West Virginia","Frio","48163",254,248,52,14,7,5,2,346,64
"West Virginia","McCulloch","48307",322,254,45,12,3,5,2,469,85
"West Virginia","Briscoe","48045",337,200,80,22,15,2,0,121,33
"West Virginia","Andrews","48003",294,286,40,28,2,2,0,260,48
"West Virginia","Uvalde","48463",355,290,22,24,14,1,1,246,64
"West Virginia","Deaf Smith","48117",318,250,31,1,1,3,2,458,96
"Kentucky","LaSalle","17099",275,115,72,18,8,4,1,317,42
"West Virginia","Tarrant","48439",313,160,31,4,7,2,0,162,83
"West Virginia","Dallas","48113",276,255,23,19,2,0,2,120,48
"West Virginia","Wise","48497",252,148,38,0,4,2,2,159,40
"Kentucky","Macon","17115",325,233,76,0,8,5,2,465,71
"Kentucky","Union","17181",309,295,78,0,5,0,0,407,78
"Kentucky","Christian","17021",292,120,69,14,7,3,0,109,65
"West Virginia","Collin","48085",333,164,43,14,2,5,2,215,96
"West Virginia","Potter","48375",353,184,93,8,8,2,2,219,34
"West Virginia","Lubbock","48303",271,295,50,4,1,0,0,244,64
"West Virginia","Comanche","48093",327,256,96,8,11,2,1,249,96
"West Virginia","Johnson","48251",322,287,97,30,9,3,0,204,97
"West Virginia","Tom Green","48451",268,288,58,23,3,5,1,108,43
"West Virginia","McLennan","48309",332,171,83,24,5,2,1,365,76
"West Virginia","Callahan","48059",348,187,85,15,9,0,1,353,78
"West Virginia","Gray","48179",253,259,66,16,12,3,2,419,87
"Kentucky","Wayne","17191",328,296,31,13,0,3,1,365,30
"West Virginia","Jones","48253",319,246,20,18,7,3,1,235,54
"Alabama","Marion","01093",328,190,34,22,0,5,1,395,82
"West Virginia","Wilson","48493",351,112,99,26,1,3,2,387,30
"West Virginia","Lampasas","48281",349,281,53,14,7,2,1,156,53
"West Virginia","Gonzales","48177",258,148,87,27,0,3,0,481,37
"West Virginia","Lynn","48305",261,264,90,13,2,0,0,368,56
"Colorado","San Bernardino","06071",252,121,30,30,9,2,0,282,58
"Colorado","Alpine","06003",339,248,72,15,11,0,2,448,37
"Colorado","Modoc","06049",302,113,80,4,15,2,2,347,58
"Oklahoma","Schoharie","36095",324,249,39,5,0,5,1,353,93
"Oklahoma","Seneca","36099",341,197,26,28,0,3,1,356,63
"West Virginia","Fisher","48151",301,123,82,19,8,4,0,329,40
"West Virginia","Menard","48327",276,238,22,20,4,5,0,440,94
"West Virginia","Reeves","48389",294,101,25,0,2,0,1,482,53
"West Virginia","Stonewall","48433",254,156,100,16,11,2,2,182,38
"Oklahoma","Genesee","36037",255,219,80,4,8,3,1,239,84
"Kentucky","McLean","17113",345,191,35,6,10,4,0,412,41
"Kentucky","Fayette","17051",325,131,45,3,8,1,2,158,69
"Oklahoma","Greene","36039",277,244,91,3,8,2,2,317,80
"West Virginia","Parker","48367",346,102,74,23,4,3,2,330,88
"West Virginia","Real","48385",321,186,83,16,8,1,2,122,89
"Alabama","Winston","01133",317,128,26,4,8,2,0,176,93
"West Virginia","Jim Hogg","48247",338,236,55,15,11,4,0,380,58
"Kentucky","Jefferson","17081",340,260,34,8,4,3,1,103,38
"West Virginia","Eastland","48133",306,257,64,14,2,3,1,141,81
"West Virginia","Bastrop","48021",329,218,44,5,1,4,0,382,37
"West Virginia","Lavaca","48285",309,194,84,0,4,1,2,484,46
"West Virginia","Kimble","48267",267,298,32,28,1,0,1,350,61
"Alabama","Russell","01113",281,143,84,10,15,5,0,289,98
"Kentucky","Franklin","17055",268,231,76,14,5,1,0,492,84
"Alabama","Lee","01081",271,117,84,17,0,5,0,198,81
"Kentucky","McHenry","17111",269,118,47,28,12,2,2,184,88
"Kentucky","Winnebago","17201",293,157,80,17,5,5,0,317,62
"West Virginia","Roberts","48393",250,277,41,16,14,2,2,273,73
"Kentucky","Massac","17127",315,205,89,18,13,0,1,431,37
"Alabama","Cherokee","01019",297,244,97,5,0,3,2,314,92
"Kentucky","Warren","17187",329,275,96,28,8,3,0,119,74
"West Virginia","Hill","48217",288,299,81,27,9,0,2,354,90
"Kentucky","Moultrie","17139",354,298,81,2,7,0,0,186,82
"Oklahoma","St. Lawrence","36089",330,215,82,3,11,0,2,167,40
"Alabama","Franklin","01059",252,128,87,10,10,5,1,106,74
"Alabama","Randolph","01111",326,214,24,12,3,3,2,460,95
"West Virginia","Tyler","48457",331,189,76,20,15,2,1,305,85
"Alabama","Tallapoosa","01123",280,270,24,6,13,4,2,294,66
"Kentucky","St. Clair","17163",350,158,26,30,14,2,2,136,79
"West Virginia","Donley","48129",304,201,63,13,11,5,1,170,86
"West Virginia","Motley","48345",331,177,45,8,0,2,2,240,89
"Kentucky","Jo Daviess","17085",327,102,23,13,11,5,2,256,71
"West Virginia","Culberson","48109",353,149,72,16,11,5,0,298,48
"West Virginia","Brooks","48047",279,291,59,4,12,3,0,415,30
"Alabama","Escambia","01053",351,276,46,27,11,5,1,186,91
"Kentucky","Kendall","17093",254,179,75,0,1,3,2,130,72
"West Virginia","Gaines","48165",332,297,29,14,10,0,1,139,41
"West Virginia","Wichita","48485",274,277,50,7,4,4,1,438,33
"West Virginia","Falls","48145",320,104,60,11,14,0,0,312,37
"West Virginia","Wilbarger","48487",284,299,81,27,10,2,0,449,93
"West Virginia","Scurry","48415",255,265,38,24,11,1,1,311,33
"West Virginia","Shackelford","48417",262,289,30,14,3,3,2,190,91
"West Virginia","Hardeman","48197",344,104,62,10,9,4,2,149,60
"West Virginia","Archer","48009",276,108,44,14,3,4,2,382,45
"West Virginia","Knox","48275",337,278,48,13,2,5,2,299,69
"West Virginia","Milam","48331",329,231,26,5,13,1,1,376,70
"Oklahoma","Lewis","36049",316,150,27,30,5,1,0,304,55
"Kentucky","De Witt","17039",362,241,28,13,1,5,2,243,49
"Kentucky","Lee","17103",270,297,27,1,13,4,1,265,77
