variable_name,domain,description,type,source,min_year,max_year,units,related_to_standard,standard_domain,extended_only,notes,api_source,api_variable,data_quality_flag_required
poor_physical_health_pct,Health Outcomes,Percentage of adults reporting poor physical health,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
stroke_pct,Health Outcomes,Percentage of adults who have had a stroke,numeric_percent,CDC PLACES / CDC WONDER,2010,2022,percent,NA,Health Outcomes,FALSE,NA,NA,NA,FALSE
annual_checkup_pct,Healthcare,Percentage of adults who had an annual checkup,numeric_percent,CDC PLACES / SAHIE,2010,2022,percent,NA,Healthcare,FALSE,NA,NA,NA,FALSE
dental_visit_pct,Healthcare,Percentage of adults who visited a dentist in the past year,numeric_percent,CDC PLACES / SAHIE,2010,2022,percent,NA,Healthcare,FALSE,NA,NA,NA,FALSE
medicaid_pct,Healthcare,Percentage of population with Medicaid coverage,numeric_percent,CDC PLACES / SAHIE,2010,2022,percent,NA,Healthcare,FALSE,NA,NA,NA,FALSE
medicare_pct,Healthcare,Percentage of population with Medicare coverage,numeric_percent,CDC PLACES / SAHIE,2010,2022,percent,NA,Healthcare,FALSE,NA,NA,NA,FALSE
no_health_insurance_pct,Healthcare,Percentage of adults without any health insurance,numeric_percent,CDC PLACES / SAHIE,2010,2022,percent,NA,Healthcare,FALSE,NA,NA,NA,FALSE
primary_care_physicians_per_100k,Healthcare,"Primary care physicians per 100,000 population",numeric_rate,CDC PLACES / SAHIE,2010,2022,count/100k,NA,Healthcare,FALSE,NA,NA,NA,FALSE
uninsured_pct,Healthcare,Percentage of population without health insurance,numeric_percent,CDC PLACES / SAHIE,2010,2022,percent,NA,Healthcare,FALSE,NA,NA,NA,FALSE
ambulatory_care_sensitive_conditions,Healthcare Access,Rate of hospitalization for ambulatory care sensitive conditions,numeric_rate,CMS Geographic Variation Public Use File,2007,2021,rate,NA,Healthcare,TRUE,NA,NA,NA,TRUE
dentists_per_100k,Healthcare Access,"Dentists per 100,000 population",numeric_rate,HRSA Area Health Resources Files,2000,2023,count/100k,NA,Healthcare,TRUE,NA,NA,NA,TRUE
fqhc_access_pct,Healthcare Access,Percentage of population with access to Federally Qualified Health Centers,numeric_percent,HRSA Area Health Resources Files,2000,2023,percent,NA,Healthcare,TRUE,NA,NA,NA,TRUE
hospital_beds_per_1000,Healthcare Access,"Hospital beds per 1,000 population",numeric_rate,HRSA Area Health Resources Files,2000,2023,count/1000,NA,Healthcare,TRUE,NA,NA,NA,TRUE
medicare_spending_per_beneficiary,Healthcare Access,Medicare spending per beneficiary,numeric_money,CMS Geographic Variation Public Use File,2007,2021,dollars,NA,Healthcare,TRUE,NA,NA,NA,TRUE
mental_health_providers_per_100k,Healthcare Access,"Mental health providers per 100,000 population",numeric_rate,HRSA Area Health Resources Files,2000,2023,count/100k,NA,Healthcare,TRUE,NA,NA,NA,TRUE
pharmacies_per_100k,Healthcare Access,"Pharmacies per 100,000 population",numeric_rate,HRSA Area Health Resources Files,2000,2023,count/100k,NA,Healthcare,TRUE,NA,NA,NA,TRUE
preventable_hospital_stays,Healthcare Access,"Preventable hospital stays per 100,000 Medicare enrollees",numeric_rate,HRSA Area Health Resources Files,2000,2023,count/100k,NA,Healthcare,TRUE,NA,NA,NA,TRUE
preventive_services_pct,Healthcare Access,Percentage of Medicare beneficiaries receiving preventive services,numeric_percent,CMS Geographic Variation Public Use File,2007,2021,percent,NA,Healthcare,TRUE,NA,NA,NA,TRUE
eviction_filing_rate,Housing,Number of eviction filings per 100 renter homes,numeric_rate,Eviction Lab,2000,2018,rate,NA,Housing,TRUE,NA,NA,NA,TRUE
eviction_rate,Housing,Number of evictions per 100 renter homes,numeric_rate,Eviction Lab,2000,2018,rate,NA,Housing,TRUE,NA,NA,NA,TRUE
foreclosure_rate,Housing,"Foreclosures per 1,000 housing units",numeric_rate,Federal Reserve HMDA,2007,2023,rate,NA,Housing,TRUE,NA,NA,NA,TRUE
high_cost_loans_pct,Housing,Percentage of loans that are high-cost,numeric_percent,Federal Reserve HMDA,2007,2023,percent,NA,Housing,TRUE,NA,NA,NA,TRUE
homeownership_rate,Housing,Homeownership rate,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
housing_built_after_2010,Housing,Housing units built 2010 or later,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
housing_built_before_1940,Housing,Housing units built before 1940,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
housing_problems_pct,Housing,Percentage of households with at least one housing problem,numeric_percent,HUD CHAS,2006,2020,percent,severe_housing_problems,Housing,TRUE,NA,NA,NA,TRUE
housing_without_kitchen,Housing,Housing units lacking complete kitchen facilities,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
housing_without_plumbing,Housing,Housing units lacking complete plumbing facilities,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
low_income_renters_affordable_units_ratio,Housing,Ratio of affordable units to low-income renters,numeric_ratio,HUD CHAS,2006,2020,ratio,NA,Housing,TRUE,NA,NA,NA,TRUE
median_home_value,Housing,Median home value,numeric_money,American Community Survey / HUD CHAS,2010,2023,dollars,NA,Housing,FALSE,NA,NA,NA,FALSE
median_rent,Housing,Median gross rent,numeric_money,American Community Survey / HUD CHAS,2010,2023,dollars,NA,Housing,FALSE,NA,NA,NA,FALSE
mortgage_denial_rate,Housing,Percentage of mortgage applications denied,numeric_percent,Federal Reserve HMDA,2007,2023,percent,NA,Housing,TRUE,NA,NA,NA,TRUE
occupied_housing_units,Housing,Occupied housing units,numeric_count,American Community Survey / HUD CHAS,2010,2023,units,NA,Housing,FALSE,NA,NA,NA,FALSE
overcrowded_housing_pct,Housing,Percentage of housing units with more than 1 person per room,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
rent_burden_pct,Housing,Percentage of household income spent on rent,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
rental_rate,Housing,Rental rate,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
severe_housing_cost_burden,Housing,Households with severe housing cost burden (>50% of income),numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
severe_housing_problems,Housing,Households with at least one severe housing problem,numeric_percent,American Community Survey / HUD CHAS,2010,2023,percent,NA,Housing,FALSE,NA,NA,NA,FALSE
severely_cost_burdened_owners_pct,Housing,Percentage of owner households spending >50% of income on housing,numeric_percent,HUD CHAS,2006,2020,percent,severe_housing_cost_burden,Housing,TRUE,NA,NA,NA,TRUE
severely_cost_burdened_renters_pct,Housing,Percentage of renter households spending >50% of income on housing,numeric_percent,HUD CHAS,2006,2020,percent,severe_housing_cost_burden,Housing,TRUE,NA,NA,NA,TRUE
total_housing_units,Housing,Total housing units,numeric_count,American Community Survey / HUD CHAS,2010,2023,units,NA,Housing,FALSE,NA,NA,NA,FALSE
vacant_housing_units,Housing,Vacant housing units,numeric_count,American Community Survey / HUD CHAS,2010,2023,units,NA,Housing,FALSE,NA,NA,NA,FALSE
aian_pct,Race/Ethnicity,American Indian and Alaska Native alone percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
aian_population,Race/Ethnicity,American Indian and Alaska Native alone population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
asian_pct,Race/Ethnicity,Asian alone percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
asian_population,Race/Ethnicity,Asian alone population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
black_pct,Race/Ethnicity,Black or African American alone percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
black_population,Race/Ethnicity,Black or African American alone population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
hispanic_pct,Race/Ethnicity,Hispanic or Latino percentage (any race),numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
hispanic_population,Race/Ethnicity,Hispanic or Latino population (any race),numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
multiracial_pct,Race/Ethnicity,Two or more races percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
multiracial_population,Race/Ethnicity,Two or more races population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
nhpi_pct,Race/Ethnicity,Native Hawaiian and Other Pacific Islander alone percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
nhpi_population,Race/Ethnicity,Native Hawaiian and Other Pacific Islander alone population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
other_race_pct,Race/Ethnicity,Some other race alone percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
other_race_population,Race/Ethnicity,Some other race alone population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
white_pct,Race/Ethnicity,White alone percentage,numeric_percent,US Census Bureau,2000,2023,percent,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
white_population,Race/Ethnicity,White alone population,numeric_count,US Census Bureau,2000,2023,people,NA,Race/Ethnicity,FALSE,NA,NA,NA,FALSE
civilian_veterans,Social,Percentage of civilian population who are veterans,numeric_percent,American Community Survey,2010,2023,percent,NA,Social,FALSE,NA,NA,NA,FALSE
disconnected_youth,Social,Percentage of teens and young adults (16-24) neither working nor in school,numeric_percent,American Community Survey,2010,2023,percent,NA,Social,FALSE,NA,NA,NA,FALSE
households_with_computer,Social,Percentage of households with a computer,numeric_percent,American Community Survey,2010,2023,percent,NA,Social,FALSE,NA,NA,NA,FALSE
households_with_internet,Social,Percentage of households with broadband internet subscription,numeric_percent,American Community Survey,2010,2023,percent,NA,Social,FALSE,NA,NA,NA,FALSE
single_parent_households_pct,Social,Percentage of single-parent households,numeric_percent,American Community Survey,2010,2023,percent,NA,Social,FALSE,NA,NA,NA,FALSE
nonprofit_organizations_per_10k,Social Cohesion & Capital,"Nonprofit organizations per 10,000 population",numeric_rate,County Health Rankings,2014,2023,count/10k,NA,Social,TRUE,NA,NA,NA,TRUE
political_competition_index,Social Cohesion & Capital,Index measuring political competition,numeric_index,MIT Election Data and Science Lab,2000,2022,index,NA,Social,TRUE,NA,NA,NA,TRUE
religious_congregation_rate,Social Cohesion & Capital,"Religious congregations per 10,000 population",numeric_rate,County Health Rankings,2014,2023,count/10k,NA,Social,TRUE,NA,NA,NA,TRUE
social_association_rate,Social Cohesion & Capital,"Social associations per 10,000 population",numeric_rate,County Health Rankings,2014,2023,count/10k,NA,Social,TRUE,NA,NA,NA,TRUE
voter_registration_rate,Social Cohesion & Capital,Voter registration as percentage of eligible population,numeric_percent,MIT Election Data and Science Lab,2000,2022,percent,NA,Social,TRUE,NA,NA,NA,TRUE
voter_turnout_rate,Social Cohesion & Capital,Voter turnout rate in general elections,numeric_percent,MIT Election Data and Science Lab,2000,2022,percent,NA,Social,TRUE,NA,NA,NA,TRUE
alcohol_impaired_fatalities,Traffic Safety,Alcohol-impaired driving fatalities,numeric_count,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
alcohol_impaired_fatality_rate,Traffic Safety,"Alcohol-impaired fatalities per 100,000 population",numeric_rate,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count/100k,NA,Transportation,TRUE,NA,NA,NA,TRUE
bicycle_fatalities,Traffic Safety,Bicycle traffic fatalities,numeric_count,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
bicycle_fatality_rate,Traffic Safety,"Bicycle fatalities per 100,000 population",numeric_rate,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count/100k,NA,Transportation,TRUE,NA,NA,NA,TRUE
motorcycle_fatalities,Traffic Safety,Motorcycle traffic fatalities,numeric_count,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
motorcycle_fatality_rate,Traffic Safety,"Motorcycle fatalities per 100,000 population",numeric_rate,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count/100k,NA,Transportation,TRUE,NA,NA,NA,TRUE
pedestrian_fatalities,Traffic Safety,Pedestrian traffic fatalities,numeric_count,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
pedestrian_fatality_rate,Traffic Safety,"Pedestrian fatalities per 100,000 population",numeric_rate,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count/100k,NA,Transportation,TRUE,NA,NA,NA,TRUE
speeding_related_fatalities,Traffic Safety,Speeding-related traffic fatalities,numeric_count,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
speeding_related_fatality_rate,Traffic Safety,"Speeding-related fatalities per 100,000 population",numeric_rate,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count/100k,NA,Transportation,TRUE,NA,NA,NA,TRUE
traffic_fatalities,Traffic Safety,Total traffic fatalities,numeric_count,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
traffic_fatality_rate,Traffic Safety,"Traffic fatalities per 100,000 population",numeric_rate,NHTSA FARS (Fatality Analysis Reporting System),1975,2021,count/100k,NA,Transportation,TRUE,NA,NA,NA,TRUE
commute_bicycle,Transportation,Workers commuting by bicycle,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_car_alone,Transportation,Workers commuting by driving alone,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_carpool,Transportation,Workers commuting by carpooling,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_long_pct,Transportation,Percentage of workers with commute >30 minutes,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_other,Transportation,Workers commuting by other means,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_public_transit,Transportation,Workers commuting by public transportation,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_walk,Transportation,Workers commuting by walking,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
commute_work_at_home,Transportation,Workers working at home,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
mean_commute_time,Transportation,Mean commute time (minutes),numeric_time,American Community Survey,2010,2023,minutes,NA,Transportation,FALSE,NA,NA,NA,FALSE
no_vehicle_households_pct,Transportation,Percentage of households with no vehicle available,numeric_percent,American Community Survey,2010,2023,percent,NA,Transportation,FALSE,NA,NA,NA,FALSE
public_transit_trips_per_capita,Transportation,Public transit trips per capita,numeric_rate,National Transit Database,2000,2022,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
transit_access_jobs,Transportation,Number of jobs accessible by transit within 30 minutes,numeric_count,All Transit Database,2012,2022,count,NA,Transportation,TRUE,NA,NA,NA,TRUE
transit_connectivity_index,Transportation,Measure of transit connectivity,numeric_index,All Transit Database,2012,2022,index,NA,Transportation,TRUE,NA,NA,NA,TRUE
transit_performance_index,Transportation,Composite measure of transit performance,numeric_index,All Transit Database,2012,2022,index,NA,Transportation,TRUE,NA,NA,NA,TRUE
transportation_cost_burden_pct,Transportation,Transportation costs as percentage of household income,numeric_percent,National Household Travel Survey,2001,2017,percent,NA,Transportation,TRUE,NA,NA,NA,TRUE
vehicle_miles_traveled_per_capita,Transportation,Annual vehicle miles traveled per capita,numeric_distance,National Household Travel Survey,2001,2017,miles,NA,Transportation,TRUE,NA,NA,NA,TRUE
zero_vehicle_households_pct,Transportation,Percentage of households with no vehicles,numeric_percent,American Community Survey,2009,2023,percent,no_vehicle_households_pct,Transportation,TRUE,NA,NA,NA,TRUE
